Number, Name, HP, Attack, Defence, SpecialAttack, SpecialDefence, Speed
213: Shuckle, 20,10, 230,230,10,230,5
212: ScizorMega Scizor, 70,150, 140,140,65,100,75
212: Scizor, 70,130, 100,100,55,80,65
211: Qwilfish, 65,95, 75,75,55,55,85
210: Granbull, 90,120, 75,75,60,60,45
209: Snubbull, 60,80, 50,50,40,40,30
208: SteelixMega Steelix, 75,125, 230,230,55,95,30
208: Steelix, 75,85, 200,200,55,65,30
207: Gligar, 65,75, 105,105,35,65,85
206: Dunsparce, 100,70, 70,70,65,65,45
205: Forretress, 75,90, 140,140,60,60,40
204: Pineco, 50,65, 90,90,35,35,15
203: Girafarig, 70,80, 65,65,90,65,85
202: Wobbuffet, 190,33, 58,58,33,58,33
201: Unown, 48,72, 48,48,72,48,48
200: Misdreavus, 60,60, 60,60,85,85,85
199: Slowking, 95,75, 80,80,100,110,30
198: Murkrow, 60,85, 42,42,85,42,91
197: Umbreon, 95,65, 110,110,60,130,65
196: Espeon, 65,65, 60,60,130,95,110
195: Quagsire, 95,85, 85,85,65,65,35
194: Wooper, 55,45, 45,45,25,25,15
193: Yanma, 65,65, 45,45,75,45,95
192: Sunflora, 75,75, 55,55,105,85,30
191: Sunkern, 30,30, 30,30,30,30,30
190: Aipom, 55,70, 55,55,40,55,85
189: Jumpluff, 75,55, 70,70,55,95,110
188: Skiploom, 55,45, 50,50,45,65,80
187: Hoppip, 35,35, 40,40,35,55,50
186: Politoed, 90,75, 75,75,90,100,70
185: Sudowoodo, 70,100, 115,115,30,65,30
184: Azumarill, 100,50, 80,80,60,80,50
183: Marill, 70,20, 50,50,20,50,40
182: Bellossom, 75,80, 95,95,90,100,50
181: AmpharosMega Ampharos, 90,95, 105,105,165,110,45
181: Ampharos, 90,75, 85,85,115,90,55
180: Flaaffy, 70,55, 55,55,80,60,45
179: Mareep, 55,40, 40,40,65,45,35
178: Xatu, 65,75, 70,70,95,70,95
177: Natu, 40,50, 45,45,70,45,70
176: Togetic, 55,40, 85,85,80,105,40
175: Togepi, 35,20, 65,65,40,65,20
174: Igglybuff, 90,30, 15,15,40,20,15
173: Cleffa, 50,25, 28,28,45,55,15
172: Pichu, 20,40, 15,15,35,35,60
171: Lanturn, 125,58, 58,58,76,76,67
170: Chinchou, 75,38, 38,38,56,56,67
169: Crobat, 85,90, 80,80,70,80,130
168: Ariados, 70,90, 70,70,60,60,40
167: Spinarak, 40,60, 40,40,40,40,30
166: Ledian, 55,35, 50,50,55,110,85
165: Ledyba, 40,20, 30,30,40,80,55
164: Noctowl, 100,50, 50,50,76,96,70
163: Hoothoot, 60,30, 30,30,36,56,50
162: Furret, 85,76, 64,64,45,55,90
161: Sentret, 35,46, 34,34,35,45,20
160: Feraligatr, 85,105, 100,100,79,83,78
159: Croconaw, 65,80, 80,80,59,63,58
158: Totodile, 50,65, 64,64,44,48,43
157: Typhlosion, 78,84, 78,78,109,85,100
156: Quilava, 58,64, 58,58,80,65,80
155: Cyndaquil, 39,52, 43,43,60,50,65
154: Meganium, 80,82, 100,100,83,100,80
153: Bayleef, 60,62, 80,80,63,80,60
152: Chikorita, 45,49, 65,65,49,65,45
151: Mew, 100,100, 100,100,100,100,100
150: MewtwoMega Mewtwo Y, 106,150, 70,70,194,120,140
150: MewtwoMega Mewtwo X, 106,190, 100,100,154,100,130
150: Mewtwo, 106,110, 90,90,154,90,130
149: Dragonite, 91,134, 95,95,100,100,80
148: Dragonair, 61,84, 65,65,70,70,70
147: Dratini, 41,64, 45,45,50,50,50
146: Moltres, 90,100, 90,90,125,85,90
145: Zapdos, 90,90, 85,85,125,90,100
144: Articuno, 90,85, 100,100,95,125,85
143: Snorlax, 160,110, 65,65,65,110,30
142: AerodactylMega Aerodactyl, 80,135, 85,85,70,95,150
142: Aerodactyl, 80,105, 65,65,60,75,130
141: Kabutops, 60,115, 105,105,65,70,80
140: Kabuto, 30,80, 90,90,55,45,55
139: Omastar, 70,60, 125,125,115,70,55
138: Omanyte, 35,40, 100,100,90,55,35
137: Porygon, 65,60, 70,70,85,75,40
136: Flareon, 65,130, 60,60,95,110,65
135: Jolteon, 65,65, 60,60,110,95,130
134: Vaporeon, 130,65, 60,60,110,95,65
133: Eevee, 55,55, 50,50,45,65,55
132: Ditto, 48,48, 48,48,48,48,48
131: Lapras, 130,85, 80,80,85,95,60
130: GyaradosMega Gyarados, 95,155, 109,109,70,130,81
130: Gyarados, 95,125, 79,79,60,100,81
129: Magikarp, 20,10, 55,55,15,20,80
128: Tauros, 75,100, 95,95,40,70,110
127: PinsirMega Pinsir, 65,155, 120,120,65,90,105
127: Pinsir, 65,125, 100,100,55,70,85
126: Magmar, 65,95, 57,57,100,85,93
125: Electabuzz, 65,83, 57,57,95,85,105
124: Jynx, 65,50, 35,35,115,95,95
123: Scyther, 70,110, 80,80,55,80,105
122: Mr. Mime, 40,45, 65,65,100,120,90
121: Starmie, 60,75, 85,85,100,85,115
120: Staryu, 30,45, 55,55,70,55,85
119: Seaking, 80,92, 65,65,65,80,68
118: Goldeen, 45,67, 60,60,35,50,63
117: Seadra, 55,65, 95,95,95,45,85
116: Horsea, 30,40, 70,70,70,25,60
115: KangaskhanMega Kangaskhan, 105,125, 100,100,60,100,100
115: Kangaskhan, 105,95, 80,80,40,80,90
114: Tangela, 65,55, 115,115,100,40,60
113: Chansey, 250,5, 5,5,35,105,50
112: Rhydon, 105,130, 120,120,45,45,40
111: Rhyhorn, 80,85, 95,95,30,30,25
110: Weezing, 65,90, 120,120,85,70,60
109: Koffing, 40,65, 95,95,60,45,35
108: Lickitung, 90,55, 75,75,60,75,30
107: Hitmonchan, 50,105, 79,79,35,110,76
106: Hitmonlee, 50,120, 53,53,35,110,87
105: Marowak, 60,80, 110,110,50,80,45
104: Cubone, 50,50, 95,95,40,50,35
103: Exeggutor, 95,95, 85,85,125,65,55
102: Exeggcute, 60,40, 80,80,60,45,40
101: Electrode, 60,50, 70,70,80,80,140
100: Voltorb, 40,30, 50,50,55,55,100
99: Kingler, 55,130, 115,115,50,50,75
98: Krabby, 30,105, 90,90,25,25,50
97: Hypno, 85,73, 70,70,73,115,67
96: Drowzee, 60,48, 45,45,43,90,42
95: Onix, 35,45, 160,160,30,45,70
94: GengarMega Gengar, 60,65, 80,80,170,95,130
94: Gengar, 60,65, 60,60,130,75,110
93: Haunter, 45,50, 45,45,115,55,95
92: Gastly, 30,35, 30,30,100,35,80
91: Cloyster, 50,95, 180,180,85,45,70
90: Shellder, 30,65, 100,100,45,25,40
89: Muk, 105,105, 75,75,65,100,50
88: Grimer, 80,80, 50,50,40,50,25
87: Dewgong, 90,70, 80,80,70,95,70
86: Seel, 65,45, 55,55,45,70,45
85: Dodrio, 60,110, 70,70,60,60,100
84: Doduo, 35,85, 45,45,35,35,75
83: Farfetch'd, 52,65, 55,55,58,62,60
82: Magneton, 50,60, 95,95,120,70,70
81: Magnemite, 25,35, 70,70,95,55,45
80: SlowbroMega Slowbro, 95,75, 180,180,130,80,30
80: Slowbro, 95,75, 110,110,100,80,30
79: Slowpoke, 90,65, 65,65,40,40,15
78: Rapidash, 65,100, 70,70,80,80,105
77: Ponyta, 50,85, 55,55,65,65,90
76: Golem, 80,120, 130,130,55,65,45
75: Graveler, 55,95, 115,115,45,45,35
74: Geodude, 40,80, 100,100,30,30,20
73: Tentacruel, 80,70, 65,65,80,120,100
72: Tentacool, 40,40, 35,35,50,100,70
71: Victreebel, 80,105, 65,65,100,70,70
70: Weepinbell, 65,90, 50,50,85,45,55
69: Bellsprout, 50,75, 35,35,70,30,40
68: Machamp, 90,130, 80,80,65,85,55
67: Machoke, 80,100, 70,70,50,60,45
66: Machop, 70,80, 50,50,35,35,35
65: AlakazamMega Alakazam, 55,50, 65,65,175,95,150
65: Alakazam, 55,50, 45,45,135,95,120
64: Kadabra, 40,35, 30,30,120,70,105
63: Abra, 25,20, 15,15,105,55,90
62: Poliwrath, 90,95, 95,95,70,90,70
61: Poliwhirl, 65,65, 65,65,50,50,90
60: Poliwag, 40,50, 40,40,40,40,90
59: Arcanine, 90,110, 80,80,100,80,95
58: Growlithe, 55,70, 45,45,70,50,60
57: Primeape, 65,105, 60,60,60,70,95
56: Mankey, 40,80, 35,35,35,45,70
55: Golduck, 80,82, 78,78,95,80,85
54: Psyduck, 50,52, 48,48,65,50,55
53: Persian, 65,70, 60,60,65,65,115
52: Meowth, 40,45, 35,35,40,40,90
51: Dugtrio, 35,80, 50,50,50,70,120
50: Diglett, 10,55, 25,25,35,45,95
49: Venomoth, 70,65, 60,60,90,75,90
48: Venonat, 60,55, 50,50,40,55,45
47: Parasect, 60,95, 80,80,60,80,30
46: Paras, 35,70, 55,55,45,55,25
45: Vileplume, 75,80, 85,85,110,90,50
44: Gloom, 60,65, 70,70,85,75,40
43: Oddish, 45,50, 55,55,75,65,30
42: Golbat, 75,80, 70,70,65,75,90
41: Zubat, 40,45, 35,35,30,40,55
40: Wigglytuff, 140,70, 45,45,85,50,45
39: Jigglypuff, 115,45, 20,20,45,25,20
38: Ninetales, 73,76, 75,75,81,100,100
37: Vulpix, 38,41, 40,40,50,65,65
36: Clefable, 95,70, 73,73,95,90,60
35: Clefairy, 70,45, 48,48,60,65,35
34: Nidoking, 81,102, 77,77,85,75,85
33: Nidorino, 61,72, 57,57,55,55,65
32: Nidoran♂, 46,57, 40,40,40,40,50
31: Nidoqueen, 90,92, 87,87,75,85,76
30: Nidorina, 70,62, 67,67,55,55,56
29: Nidoran♀, 55,47, 52,52,40,40,41
28: Sandslash, 75,100, 110,110,45,55,65
27: Sandshrew, 50,75, 85,85,20,30,40
26: Raichu, 60,90, 55,55,90,80,110
25: Pikachu, 35,55, 40,40,50,50,90
24: Arbok, 60,85, 69,69,65,79,80
23: Ekans, 35,60, 44,44,40,54,55
22: Fearow, 65,90, 65,65,61,61,100
21: Spearow, 40,60, 30,30,31,31,70
20: Raticate, 55,81, 60,60,50,70,97
19: Rattata, 30,56, 35,35,25,35,72
18: PidgeotMega Pidgeot, 83,80, 80,80,135,80,121
18: Pidgeot, 83,80, 75,75,70,70,101
17: Pidgeotto, 63,60, 55,55,50,50,71
16: Pidgey, 40,45, 40,40,35,35,56
15: BeedrillMega Beedrill, 65,150, 40,40,15,80,145
15: Beedrill, 65,90, 40,40,45,80,75
14: Kakuna, 45,25, 50,50,25,25,35
13: Weedle, 40,35, 30,30,20,20,50
12: Butterfree, 60,45, 50,50,90,80,70
11: Metapod, 50,20, 55,55,25,25,30
10: Caterpie, 45,30, 35,35,20,20,45
9: BlastoiseMega Blastoise, 79,103, 120,120,135,115,78
9: Blastoise, 79,83, 100,100,85,105,78
8: Wartortle, 59,63, 80,80,65,80,58
7: Squirtle, 44,48, 65,65,50,64,43
6: CharizardMega Charizard Y, 78,104, 78,78,159,115,100
6: CharizardMega Charizard X, 78,130, 111,111,130,85,100
6: Charizard, 78,84, 78,78,109,85,100
5: Charmeleon, 58,64, 58,58,80,65,80
4: Charmander, 39,52, 43,43,60,50,65
3: VenusaurMega Venusaur, 80,100, 123,123,122,120,80
3: Venusaur, 80,82, 83,83,100,100,80
2: Ivysaur, 60,62, 63,63,80,80,60
1: Bulbasaur, 45,49, 49,49,65,65,45
